Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,2.0,0.019893695003702305,-7.000000000000001,233.0,9.0,0.2,2
1.0,1.0,4.149427554002614,-7.000000000000001,49.0,8.000000000000002,0.4,1
1.0,4.0,8.377261044006445,7.000000000000001,57.0,6.0,0.5,2
1.0,4.0,12.587104244012153,4.999999999999999,120.0,6.0,0.1,2
1.0,4.0,16.714878274011426,-4.999999999999999,428.0,8.000000000000002,0.6,1
1.0,2.0,21.578049773001112,4.999999999999999,359.0,6.0,0.3,2
1.0,4.0,25.83403402401018,4.999999999999999,273.0,8.000000000000002,0.7,2
1.0,1.0,29.977625286002876,4.999999999999999,375.0,6.0,0.2,2
1.0,1.0,34.48988772800658,-7.000000000000001,230.0,9.0,0.4,2
1.0,4.0,38.65795952299959,-4.999999999999999,64.0,8.000000000000002,0.5,1
1.0,1.0,42.977888373003225,4.999999999999999,8.0,6.0,0.1,1
1.0,4.0,47.19688599300571,7.000000000000001,100.0,9.0,0.6,2
1.0,1.0,51.28242925100494,7.000000000000001,48.0,7.000000000000001,0.3,1
1.0,4.0,55.74605276800867,-4.999999999999999,168.0,7.000000000000001,0.7,1
1.0,2.0,59.905658460003906,7.000000000000001,86.0,9.0,0.2,1
1.0,3.0,64.07406788501248,7.000000000000001,297.0,7.000000000000001,0.4,2
1.0,1.0,68.19500494201202,-4.999999999999999,142.0,8.000000000000002,0.5,1
1.0,1.0,72.41033884799981,7.000000000000001,216.0,7.000000000000001,0.1,2
1.0,2.0,78.08192733800388,7.000000000000001,409.0,7.000000000000001,0.6,2
1.0,2.0,82.24305110800196,-4.999999999999999,213.0,9.0,0.3,1
