Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.023833617990021594,-7.000000000000001,415.0,8.000000000000002,0.5,1
1.0,4.0,4.2264827549952315,-4.999999999999999,290.0,7.000000000000001,0.4,1
1.0,4.0,8.4027629839984,4.999999999999999,42.0,7.000000000000001,0.6,2
1.0,4.0,12.533405758993467,-4.999999999999999,349.0,6.0,0.7,1
1.0,1.0,16.794524361001095,7.000000000000001,349.0,8.000000000000002,0.1,2
1.0,1.0,21.028157598993857,-7.000000000000001,284.0,9.0,0.2,2
1.0,1.0,25.38631965199602,4.999999999999999,254.0,8.000000000000002,0.3,2
1.0,4.0,29.86650597800326,4.999999999999999,322.0,7.000000000000001,0.5,2
1.0,4.0,34.091324623994296,-7.000000000000001,34.0,9.0,0.4,1
1.0,4.0,38.44206861499697,-4.999999999999999,260.0,9.0,0.6,1
1.0,4.0,42.929708834999474,-4.999999999999999,30.0,7.000000000000001,0.7,1
1.0,4.0,47.21841341599065,7.000000000000001,382.0,9.0,0.1,2
1.0,1.0,51.56309514600434,-7.000000000000001,317.0,6.0,0.2,1
1.0,1.0,56.70624730898999,7.000000000000001,84.0,6.0,0.3,1
1.0,4.0,61.890276200996595,7.000000000000001,107.0,6.0,0.5,2
1.0,1.0,66.17016439799045,-7.000000000000001,311.0,8.000000000000002,0.4,1
1.0,4.0,70.55538452700421,-7.000000000000001,375.0,6.0,0.6,1
1.0,4.0,74.85862165100116,-4.999999999999999,341.0,8.000000000000002,0.7,1
1.0,1.0,79.01878684399708,7.000000000000001,71.0,6.0,0.1,1
1.0,1.0,83.80280512999161,-7.000000000000001,306.0,7.000000000000001,0.2,1
