Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.019001372013008222,4.999999999999999,292.0,8.000000000000002,0.7,2
1.0,1.0,4.210928294007317,4.999999999999999,175.0,9.0,0.1,1
1.0,4.0,8.483382923004683,4.999999999999999,392.0,7.000000000000001,0.2,2
1.0,4.0,13.266104614012875,7.000000000000001,107.0,7.000000000000001,0.5,2
1.0,1.0,17.576582619003602,-7.000000000000001,134.0,6.0,0.3,1
1.0,1.0,22.454441277004662,-4.999999999999999,86.0,6.0,0.4,1
1.0,4.0,26.66663179801253,7.000000000000001,234.0,9.0,0.6,2
1.0,4.0,30.967722907007555,-7.000000000000001,35.0,9.0,0.7,1
1.0,2.0,35.40012306701101,-7.000000000000001,292.0,7.000000000000001,0.1,2
1.0,1.0,39.658036481007,-7.000000000000001,104.0,8.000000000000002,0.2,2
1.0,4.0,44.089692608002224,7.000000000000001,290.0,9.0,0.5,2
1.0,2.0,48.306507003013394,7.000000000000001,380.0,8.000000000000002,0.3,2
1.0,4.0,52.61843757001043,4.999999999999999,183.0,6.0,0.4,2
1.0,4.0,56.865861502010375,-4.999999999999999,382.0,9.0,0.6,1
1.0,4.0,61.970335812002304,-4.999999999999999,141.0,6.0,0.7,1
1.0,1.0,66.21624261100078,-7.000000000000001,121.0,9.0,0.1,2
1.0,4.0,70.99459954100894,4.999999999999999,419.0,9.0,0.2,1
1.0,4.0,75.753826708009,7.000000000000001,57.0,6.0,0.5,2
1.0,1.0,80.53103262401419,-7.000000000000001,203.0,9.0,0.3,1
1.0,4.0,85.67427902501367,-4.999999999999999,106.0,7.000000000000001,0.4,1
