Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.01839929400011897,4.999999999999999,217.0,8.000000000000002,0.3,1
1.0,4.0,5.651120542999706,7.000000000000001,107.0,8.000000000000002,0.6,2
1.0,1.0,10.411486059005256,-7.000000000000001,333.0,9.0,0.1,1
1.0,1.0,15.282542795001063,7.000000000000001,185.0,9.0,0.2,2
1.0,4.0,20.714642219012603,7.000000000000001,337.0,9.0,0.7,2
1.0,4.0,25.658357214007992,4.999999999999999,53.0,9.0,0.5,2
1.0,1.0,30.370039622008335,4.999999999999999,91.0,6.0,0.4,1
1.0,1.0,36.330811239007744,7.000000000000001,46.0,6.0,0.3,1
1.0,4.0,41.548056979008834,-7.000000000000001,264.0,9.0,0.6,1
1.0,1.0,45.88365734901163,-4.999999999999999,21.0,9.0,0.1,0
1.0,1.0,54.05102543000248,-4.999999999999999,180.0,6.0,0.2,1
1.0,4.0,59.06690100701235,-7.000000000000001,133.0,9.0,0.7,1
1.0,4.0,63.3545305350126,-7.000000000000001,202.0,6.0,0.5,1
1.0,1.0,67.57020755299891,-7.000000000000001,152.0,6.0,0.4,1
1.0,1.0,73.53150885600189,7.000000000000001,219.0,6.0,0.3,1
1.0,4.0,78.34602748100588,-4.999999999999999,428.0,7.000000000000001,0.6,1
1.0,1.0,82.75502430400229,4.999999999999999,336.0,6.0,0.1,1
1.0,1.0,88.68377781500749,-4.999999999999999,402.0,6.0,0.2,1
1.0,4.0,93.6188467250031,-7.000000000000001,180.0,8.000000000000002,0.7,1
1.0,1.0,98.20283286301128,-7.000000000000001,5.0,8.000000000000002,0.5,1
