Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,0.0,0.018025559000307112,-7.000000000000001,58.0,9.0,0.3,2
1.0,4.0,8.15781940099987,-4.999999999999999,68.0,7.000000000000001,0.5,1
1.0,4.0,13.882858523000323,4.999999999999999,86.0,8.000000000000002,0.4,2
1.0,4.0,19.578245771000184,7.000000000000001,238.0,8.000000000000002,0.6,2
1.0,3.0,24.818075995000072,-4.999999999999999,381.0,7.000000000000001,0.1,1
1.0,3.0,30.232943668999724,-7.000000000000001,76.0,7.000000000000001,0.2,2
1.0,4.0,35.48175869100032,7.000000000000001,348.0,8.000000000000002,0.7,2
1.0,3.0,40.33849203800037,4.999999999999999,320.0,9.0,0.3,1
1.0,4.0,46.6495293349999,-7.000000000000001,32.0,6.0,0.5,1
1.0,2.0,51.649664249000125,4.999999999999999,366.0,6.0,0.4,2
1.0,4.0,59.409562959999676,-4.999999999999999,52.0,8.000000000000002,0.6,1
1.0,0.0,63.93727839599978,-7.000000000000001,197.0,9.0,0.1,2
1.0,2.0,71.4623282550001,-7.000000000000001,408.0,9.0,0.2,2
1.0,3.0,79.08185572099956,-7.000000000000001,402.0,6.0,0.7,1
1.0,3.0,83.9296407920001,-4.999999999999999,367.0,6.0,0.3,1
1.0,3.0,88.76185153799997,-7.000000000000001,193.0,8.000000000000002,0.5,1
1.0,2.0,93.22496108900032,-4.999999999999999,93.0,9.0,0.4,2
1.0,3.0,99.2815413469998,7.000000000000001,234.0,6.0,0.6,1
1.0,3.0,104.44871368199983,7.000000000000001,188.0,8.000000000000002,0.1,1
1.0,2.0,110.59358254699964,-7.000000000000001,331.0,9.0,0.2,1
