Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.02074042999811354,-4.999999999999999,208.0,8.000000000000002,0.4,1
1.0,4.0,4.40147889400032,-4.999999999999999,10.0,6.0,0.5,1
1.0,1.0,8.602030545996968,4.999999999999999,151.0,8.000000000000002,0.1,1
1.0,4.0,13.586202053997113,-7.000000000000001,111.0,6.0,0.6,1
1.0,3.0,17.809223038999335,-4.999999999999999,88.0,7.000000000000001,0.3,1
1.0,4.0,21.984922034997,-4.999999999999999,412.0,8.000000000000002,0.7,1
1.0,1.0,26.22516389899829,7.000000000000001,212.0,9.0,0.2,1
1.0,4.0,30.6008235579975,-7.000000000000001,25.0,8.000000000000002,0.4,1
1.0,4.0,35.200682011000026,7.000000000000001,371.0,8.000000000000002,0.5,2
1.0,2.0,39.513074981998216,-7.000000000000001,299.0,7.000000000000001,0.1,1
1.0,4.0,43.86535609499697,-7.000000000000001,429.0,6.0,0.6,1
1.0,4.0,48.257568871998956,-7.000000000000001,81.0,7.000000000000001,0.3,2
1.0,4.0,53.161715886999446,7.000000000000001,221.0,7.000000000000001,0.7,2
1.0,1.0,57.385692494997784,7.000000000000001,395.0,6.0,0.2,1
1.0,4.0,61.87387409599978,4.999999999999999,252.0,9.0,0.4,2
1.0,4.0,65.93744983400029,-4.999999999999999,143.0,9.0,0.5,1
1.0,1.0,70.2098367489998,4.999999999999999,101.0,6.0,0.1,1
1.0,4.0,75.36124807599845,-4.999999999999999,90.0,6.0,0.6,1
1.0,4.0,79.45101005299875,-7.000000000000001,21.0,7.000000000000001,0.3,1
1.0,4.0,83.57714569499876,-7.000000000000001,250.0,9.0,0.7,1
