Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,0.0,,2.66749998445448e-05,0.0,0.0,0.0,41.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,2.5395032139999785,3.2041492539997307,3.2113356509998994,0.0,128.0,0.0
0.0,,5.123504282999875,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,294.0,8.000000000000002
80.0,80.0,0.0,0.0,1.0,3.0,7.679321371999777,9.16831754199984,9.17400898699998,0.0,112.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,10.209178540999801,10.95422814199992,10.960311258999809,0.0,59.0,0.0
0.0,,12.752759354999853,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,81.0,9.0
80.0,80.0,0.0,0.0,1.0,3.0,15.311190462000013,16.927375110999947,16.935283678999895,0.0,78.0,0.0
80.0,80.0,0.0,0.0,0.0,,17.842257142999642,0.0,0.0,0.0,193.0,0.0
0.0,,20.377854317999663,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,27.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,22.93473701999983,0.0,0.0,0.0,427.0,0.0
0.0,,25.494272003999868,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,167.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,28.043489623999903,0.0,0.0,0.0,320.0,0.0
80.0,80.0,0.0,0.0,0.0,,30.551204139999754,0.0,0.0,0.0,166.0,0.0
80.0,80.0,0.0,0.0,0.0,,33.106157770999744,0.0,0.0,0.0,260.0,0.0
1.0,3.0,35.67959366399964,37.363117256999885,90.0,90.0,0.0,0.0,37.3698800039997,-7.000000000000001,159.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,38.71149921699998,0.0,0.0,0.0,140.0,0.0
80.0,80.0,0.0,0.0,0.0,,41.26426578199971,0.0,0.0,0.0,297.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,43.82066282899996,46.31442457200001,46.32002209999973,0.0,374.0,0.0
80.0,80.0,0.0,0.0,0.0,,46.44816609999998,0.0,0.0,0.0,315.0,0.0
80.0,80.0,0.0,0.0,0.0,,48.98031247599965,0.0,0.0,0.0,17.0,0.0
0.0,,51.55111487899967,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,318.0,8.000000000000002
80.0,80.0,0.0,0.0,1.0,4.0,54.104409246999694,55.448553275999984,55.453740559999915,0.0,333.0,0.0
80.0,80.0,0.0,0.0,0.0,,56.64305677599987,0.0,0.0,0.0,81.0,0.0
0.0,,59.21622637799965,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,207.0,6.0
0.0,,61.808182035999835,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,22.0,9.0
80.0,80.0,0.0,0.0,1.0,3.0,64.3843397339997,65.8652050439996,65.87432487699971,0.0,328.0,0.0
80.0,80.0,0.0,0.0,0.0,,66.91558220499974,0.0,0.0,0.0,274.0,0.0
0.0,,69.4841535659998,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,6.0,8.000000000000002
0.0,,72.07173992099979,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,56.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,3.0,74.61827015999961,76.114574189,76.12001051799962,0.0,41.0,0.0
0.0,,77.16604403199972,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,266.0,6.0
80.0,80.0,0.0,0.0,1.0,4.0,79.7446724929996,80.50301628199986,80.51647364999963,0.0,383.0,0.0
80.0,80.0,0.0,0.0,0.0,,82.3065470509996,0.0,0.0,0.0,158.0,0.0
80.0,80.0,0.0,0.0,0.0,,84.80855340699964,0.0,0.0,0.0,75.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,87.37271943199994,88.86945939599991,88.87678121099998,0.0,120.0,0.0
0.0,,89.92533772599973,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,370.0,8.000000000000002
0.0,,92.48711695499969,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,159.0,8.000000000000002
80.0,80.0,0.0,0.0,1.0,4.0,95.04200837899998,95.66095531499968,95.66752053299979,0.0,362.0,0.0
0.0,,97.6132779489999,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,200.0,6.0
80.0,80.0,0.0,0.0,0.0,,100.17623965999974,0.0,0.0,0.0,179.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,102.67652142299994,103.476212089,103.48199683499979,0.0,56.0,0.0
0.0,,105.25888962299996,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,228.0,9.0
80.0,80.0,0.0,0.0,0.0,,107.80521309999995,0.0,0.0,0.0,188.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,110.31142275599996,112.85929149599997,112.86485252199964,0.0,3.0,0.0
1.0,4.0,113.6263019539997,114.56151614499959,90.0,90.0,0.0,0.0,114.58820891699997,-4.999999999999999,263.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,4.0,116.683458943,117.36054876299977,117.36937463699996,0.0,361.0,0.0
1.0,4.0,119.24230719399975,121.0640200959997,90.0,90.0,0.0,0.0,121.07702587599988,-4.999999999999999,100.0,7.000000000000001
1.0,3.0,122.31196884499968,122.92500796199965,90.0,90.0,0.0,0.0,122.93086933399991,-4.999999999999999,259.0,8.000000000000002
1.0,3.0,125.39542307199963,125.52833159399961,90.0,90.0,0.0,0.0,125.53540332299963,4.999999999999999,2.0,9.0
