Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,1.0,2.0,2.8349997592158616e-05,2.2001373289967887,2.2061367590067675,0.0,313.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,2.624130634998437,4.853298614005325,4.859516477998113,0.0,96.0,0.0
80.0,80.0,0.0,0.0,0.0,,5.149785992995021,0.0,0.0,0.0,363.0,0.0
80.0,80.0,0.0,0.0,0.0,,7.685607434003032,0.0,0.0,0.0,314.0,0.0
80.0,80.0,0.0,0.0,0.0,,10.215264525002567,0.0,0.0,0.0,294.0,0.0
1.0,2.0,12.794950023002457,15.393864169003791,90.0,90.0,0.0,0.0,15.398329596006079,4.999999999999999,278.0,6.0
0.0,,15.891365207993658,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,392.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,18.475060716998996,0.0,0.0,0.0,422.0,0.0
0.0,,21.031611484999303,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,162.0,6.0
80.0,80.0,0.0,0.0,1.0,2.0,23.6059530969942,25.928705243000877,25.933013091998873,0.0,215.0,0.0
0.0,,26.191944599995622,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,317.0,9.0
80.0,80.0,0.0,0.0,0.0,,28.749431064003147,0.0,0.0,0.0,29.0,0.0
0.0,,31.29318321599567,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,183.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,2.0,33.854710162006086,34.861620370997116,34.8774892000074,0.0,96.0,0.0
80.0,80.0,0.0,0.0,0.0,,36.37129140099569,0.0,0.0,0.0,98.0,0.0
80.0,80.0,0.0,0.0,0.0,,38.91595043899724,0.0,0.0,0.0,121.0,0.0
80.0,80.0,0.0,0.0,0.0,,41.47165239500464,0.0,0.0,0.0,173.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,44.01743153600546,45.22699344200373,45.242805852001766,0.0,234.0,0.0
0.0,,46.581205826005316,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,102.0,9.0
80.0,80.0,0.0,0.0,0.0,,49.15451287399628,0.0,0.0,0.0,408.0,0.0
0.0,,51.7225419000024,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,321.0,8.000000000000002
80.0,80.0,0.0,0.0,1.0,2.0,54.24879942300322,55.219410271995,55.2264823190053,0.0,119.0,0.0
80.0,80.0,0.0,0.0,0.0,,56.812488822994055,0.0,0.0,0.0,1.0,0.0
80.0,80.0,0.0,0.0,0.0,,59.354903283005115,0.0,0.0,0.0,361.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,61.87570394399518,61.95066098299867,61.95486981900467,0.0,284.0,0.0
80.0,80.0,0.0,0.0,0.0,,64.42510160600068,0.0,0.0,0.0,78.0,0.0
80.0,80.0,0.0,0.0,0.0,,66.98727943899576,0.0,0.0,0.0,86.0,0.0
0.0,,69.52175809600158,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,75.0,6.0
80.0,80.0,0.0,0.0,0.0,,72.0542999439931,0.0,0.0,0.0,225.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,74.61297085200204,75.30050061999646,75.30887329899997,0.0,309.0,0.0
0.0,,77.15930597300758,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,99.0,6.0
80.0,80.0,0.0,0.0,0.0,,79.67844404900097,0.0,0.0,0.0,300.0,0.0
80.0,80.0,0.0,0.0,0.0,,82.18486820399994,0.0,0.0,0.0,22.0,0.0
80.0,80.0,0.0,0.0,0.0,,84.73639618199377,0.0,0.0,0.0,219.0,0.0
80.0,80.0,0.0,0.0,0.0,,87.30127072200412,0.0,0.0,0.0,292.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,89.80389544299396,90.02748339899699,90.03406877700763,0.0,258.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,92.31924567899841,93.89958255700185,93.90842715199688,0.0,164.0,0.0
80.0,80.0,0.0,0.0,0.0,,94.85670852600015,0.0,0.0,0.0,316.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,97.42961818100594,99.23689994600136,99.25144357299723,0.0,169.0,0.0
80.0,80.0,0.0,0.0,0.0,,99.9443429709936,0.0,0.0,0.0,15.0,0.0
0.0,,102.51731071599352,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,151.0,9.0
80.0,80.0,0.0,0.0,0.0,,105.06194601900643,0.0,0.0,0.0,238.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,107.62044380999578,107.7733810369973,107.7788630760042,0.0,210.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,110.1580115770048,111.60200910500134,111.62075606100552,0.0,80.0,0.0
0.0,,112.71450917900074,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,20.0,6.0
80.0,80.0,0.0,0.0,0.0,,115.29477869599941,0.0,0.0,0.0,297.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,117.83497811900452,118.50722364199464,118.51265448599588,0.0,400.0,0.0
0.0,,120.4006165000028,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,48.0,9.0
80.0,80.0,0.0,0.0,1.0,2.0,122.9754560040019,123.71482988199568,123.7210590820032,0.0,244.0,0.0
