Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.019980837999355572,4.999999999999999,189.0,7.000000000000001,0.3,1
1.0,1.0,5.682450558999335,7.000000000000001,264.0,6.0,0.4,1
1.0,4.0,12.442605548999381,-4.999999999999999,422.0,8.000000000000002,0.7,1
1.0,1.0,17.369346517999475,7.000000000000001,379.0,6.0,0.5,1
1.0,4.0,23.00189062299978,4.999999999999999,238.0,6.0,0.6,2
1.0,1.0,28.633528093999303,-4.999999999999999,72.0,8.000000000000002,0.1,1
1.0,1.0,34.089654417999554,4.999999999999999,104.0,7.000000000000001,0.2,1
1.0,1.0,39.37787678299992,7.000000000000001,223.0,8.000000000000002,0.3,1
1.0,4.0,44.40856903999975,7.000000000000001,96.0,7.000000000000001,0.4,2
1.0,4.0,50.33028960699994,-4.999999999999999,12.0,9.0,0.7,1
1.0,4.0,55.977409075999276,-4.999999999999999,231.0,6.0,0.5,1
1.0,4.0,61.06560686699959,-7.000000000000001,81.0,8.000000000000002,0.6,1
1.0,1.0,67.31425730999945,4.999999999999999,117.0,9.0,0.1,1
1.0,2.0,72.48217484899942,7.000000000000001,53.0,7.000000000000001,0.2,1
1.0,1.0,77.8095676769999,-4.999999999999999,94.0,8.000000000000002,0.3,1
1.0,1.0,84.38620950699988,7.000000000000001,194.0,6.0,0.4,1
1.0,4.0,89.41915335399972,4.999999999999999,309.0,7.000000000000001,0.7,2
1.0,4.0,94.53858792699975,-4.999999999999999,339.0,8.000000000000002,0.5,1
1.0,4.0,99.77838518699991,-7.000000000000001,278.0,6.0,0.6,1
1.0,3.0,105.1461416029997,4.999999999999999,344.0,9.0,0.1,1
