Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.01772079200054577,-4.999999999999999,260.0,7.000000000000001,0.6,1
1.0,4.0,4.15355515400006,4.999999999999999,387.0,6.0,0.4,2
1.0,1.0,8.522688715000186,-4.999999999999999,372.0,6.0,0.1,1
1.0,4.0,12.962544302999959,4.999999999999999,240.0,9.0,0.5,2
1.0,3.0,17.442458165000062,7.000000000000001,304.0,7.000000000000001,0.3,2
1.0,4.0,21.6662461800006,-7.000000000000001,107.0,8.000000000000002,0.7,1
1.0,2.0,26.12976644399987,-4.999999999999999,333.0,7.000000000000001,0.2,1
1.0,4.0,31.15356495800006,4.999999999999999,183.0,6.0,0.6,2
1.0,2.0,35.40941333000046,7.000000000000001,205.0,6.0,0.4,2
1.0,1.0,40.145860685000116,-7.000000000000001,266.0,8.000000000000002,0.1,1
1.0,4.0,44.96329562600022,7.000000000000001,409.0,8.000000000000002,0.5,2
1.0,2.0,49.14625928800069,-4.999999999999999,124.0,8.000000000000002,0.3,2
1.0,4.0,53.169268237000324,-7.000000000000001,38.0,6.0,0.7,1
1.0,1.0,57.601466204000644,-7.000000000000001,378.0,6.0,0.2,1
1.0,4.0,62.57793636899987,-4.999999999999999,341.0,9.0,0.6,1
1.0,4.0,66.99415168700034,-4.999999999999999,193.0,7.000000000000001,0.4,1
1.0,1.0,71.53135401899999,-7.000000000000001,321.0,6.0,0.1,2
1.0,4.0,75.62688251700092,4.999999999999999,12.0,9.0,0.5,2
1.0,1.0,79.94018343300013,4.999999999999999,51.0,9.0,0.3,1
1.0,4.0,87.18703659600033,4.999999999999999,344.0,8.000000000000002,0.7,2
