Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.017966991988942027,-4.999999999999999,226.0,7.000000000000001,0.3,1
1.0,4.0,4.122642234986415,-4.999999999999999,145.0,8.000000000000002,0.4,1
1.0,4.0,8.162893239990808,4.999999999999999,332.0,8.000000000000002,0.7,2
1.0,1.0,12.211253563989885,4.999999999999999,356.0,9.0,0.2,1
1.0,2.0,16.610987606982235,4.999999999999999,10.0,8.000000000000002,0.1,2
1.0,4.0,20.713256888004253,4.999999999999999,77.0,9.0,0.5,2
1.0,2.0,24.835172527993564,-7.000000000000001,386.0,7.000000000000001,0.6,1
1.0,2.0,28.9308730349876,4.999999999999999,105.0,6.0,0.3,2
1.0,1.0,33.409725181001704,7.000000000000001,29.0,7.000000000000001,0.4,1
1.0,4.0,37.601301486982265,-4.999999999999999,102.0,8.000000000000002,0.7,1
1.0,4.0,41.786550813994836,4.999999999999999,414.0,6.0,0.2,2
1.0,1.0,46.15393445099471,-7.000000000000001,299.0,6.0,0.1,1
1.0,4.0,50.42499782599043,7.000000000000001,177.0,6.0,0.5,2
1.0,1.0,54.5456815949874,-4.999999999999999,53.0,7.000000000000001,0.6,1
1.0,0.0,58.76251124998089,7.000000000000001,173.0,9.0,0.3,0
1.0,1.0,68.40032030799193,-4.999999999999999,241.0,6.0,0.4,1
1.0,4.0,73.53863236898906,-4.999999999999999,410.0,9.0,0.7,1
1.0,1.0,77.98713639198104,4.999999999999999,423.0,9.0,0.2,2
1.0,1.0,82.58651000098325,7.000000000000001,412.0,8.000000000000002,0.1,1
1.0,4.0,87.01174302399158,7.000000000000001,2.0,9.0,0.5,2
