subject,glm_threshold,bayesian_informative,bayesian_info_hdi_low,bayesian_info_hdi_high,bayesian_flat,bayesian_flat_hdi_low,bayesian_flat_hdi_high,final_opacity
sub10MPV3,0.2537430157118611,0.279321316757584,0.2244295904149564,0.3349745365814918,0.2700955979647138,0.2100759155606491,0.3290978972115461,0.3
sub11MP,0.2615861829168595,0.2697053386752913,0.2117324754811854,0.3257795544364724,0.2595381800561956,0.1997234877779159,0.3193720326823841,0.25
sub11MPV3,0.2461686927336208,0.2560052860525825,0.1981947103990259,0.3091206081716589,0.2434554281917526,0.1855648550015304,0.3047861211085563,0.3
sub12MP,0.1424333693974665,0.1834419608347349,0.1249815110592642,0.2415225589081108,0.1603629546793682,0.1016308480458688,0.2220400331715312,0.26
sub12MPV3,0.3726992034165473,0.3651976757373991,0.3117803283540582,0.4170765602257488,0.3667911182408307,0.3105027860879097,0.4202018148205114,0.3400000000000001
sub13MP,0.3882082576364657,0.3646933760662699,0.3142335569572677,0.4174703094649294,0.3671932913652665,0.3120490692951719,0.4224466161748564,0.3
sub13MPV3,0.2051275935798837,0.2321235221607396,0.175266577782836,0.288624337198213,0.2167165769680693,0.1550559058061205,0.2799180982668798,0.3
sub14MP,0.2683425555300596,0.2757411465418117,0.220961087702633,0.3297185835851933,0.2662288715807581,0.2074282491541901,0.3272825130201827,0.25
sub14MPV3,0.1889009005983288,0.1947882729509856,0.1347876689296233,0.2557508129278799,0.1727488070854489,0.1057354168722025,0.2367850016929533,0.28
sub15MP,0.2796189981013258,0.2862996946303403,0.2318112720508151,0.3406685769569931,0.2782836739099374,0.221079087694681,0.3363967479994441,0.25
sub15MPV3,0.2985918218013605,0.302748098361459,0.2477931753378064,0.3555503205148715,0.2982655615440926,0.237471913613645,0.3561017965928632,0.31
sub16MP,0.3327447913117328,0.3334553089562878,0.2786542755341363,0.3863496056881742,0.3313310980826894,0.275358606275369,0.389984464524032,0.25
sub17MP,0.2479437858488239,0.2695959974614393,0.2125960689516529,0.3246380543384392,0.2592279721135909,0.1999436629338991,0.3210096514903022,0.3
sub17MPV3,0.2546026184591352,0.2626338464799428,0.2069390127594798,0.317883602955727,0.2519784573048519,0.1902117950309627,0.3124130082977294,0.29
sub18MP,0.2557056181092688,0.2688249788945632,0.2118533109037991,0.3244156489577955,0.2581028779184104,0.1990985545690283,0.3182351428367225,0.27
sub18MPV3,0.3193000600470452,0.3196817710513648,0.2646979615697543,0.371298389449381,0.3172441713569489,0.2644650908736843,0.3754261936009918,0.32
sub19MP,0.2513431866979436,0.3143462537118383,0.2586742557167234,0.3683136340011939,0.3090428018093942,0.2499239647074154,0.3629543632955546,0.25
sub19MPV3,0.2440506563543658,0.2536463191291708,0.1976955385209023,0.3122257100603346,0.2416212973101613,0.1771552669200734,0.3001812592856814,0.31
sub1MP,0.1707515403723132,0.1807303848820916,0.1090563783879852,0.2457454665618066,0.1534237436549525,0.091730812361347,0.2105002259418746,0.25
sub1MPV3,0.2230132702506554,0.2355128421033913,0.1785521667494366,0.2905837044679592,0.2197943847258548,0.1557081918890968,0.2846887938829915,0.28
sub20MP,0.3249434159630664,0.3231823743029184,0.2689579733489065,0.3747778749433215,0.320032586562023,0.2656545458242875,0.3759446372720931,0.31
