subject,threshold_freq,threshold_bayes,bayes_lower,bayes_upper,n_trials
sub10MP,0.3768831673007557,0.3606216180213806,0.30191699191642063,0.42051425440587725,140
sub10MPV3,0.2537430157118611,0.2577364490211058,0.16412834613302246,0.3342772544886426,140
sub11MPV3,0.24616869273362085,0.24601033890870105,0.1891197785270074,0.2977660532358046,140
sub12MP,0.14243336939746654,0.167107175252924,0.08798964785960678,0.230612527732779,140
sub12MPV3,0.3726992034165473,0.3576327292385912,0.29722068935607104,0.4169060569396526,140
sub13MP,0.38820825763646577,0.36014535148602883,0.2790338660993127,0.4358510600546564,140
sub13MPV3,0.20512759357988378,0.2145428232222593,0.13523435087811753,0.2785915435876351,140
sub14MP,0.26834255553005965,0.2670438923944576,0.21274982884393936,0.3201831154056599,140
sub14MPV3,0.18890090059832887,0.1919313743075701,0.1371937018828154,0.242178887773425,140
sub15MP,0.2796189981013258,0.2765112727932053,0.22190441248907128,0.3289942842832801,140
sub15MPV3,0.2985918218013605,0.2928642354111428,0.2292159925675698,0.35312835483042804,140
sub16MP,0.33274479131173285,0.3255041727106799,0.2666827390399024,0.3825789113214123,140
sub17MP,0.24794378584882398,0.252841613162751,0.16930191228228741,0.3239088752174418,140
sub17MPV3,0.25460261845913523,0.2533461129386386,0.19566191117002185,0.3072507811581633,140
sub18MP,0.2557056181092688,0.2547672328890437,0.18310046433552796,0.31857881693092915,140
sub18MPV3,0.31930006004704525,0.3105165693641292,0.2493060486939705,0.36971186972425873,140
sub19MP,0.25134318669794364,0.2711429195214133,0.14289962294189765,0.3839040098533044,140
sub19MPV3,0.24405065635436587,0.2446131365335931,0.18386790927043978,0.2990192319910982,140
sub1MPV3,0.22301327025065543,0.22542942723784137,0.16168950234790624,0.2799776474364872,140
sub20MP,0.3249434159630664,0.31340429851041907,0.24195954905643796,0.3792458236966172,140
sub20MPV3,0.1971373407879343,0.2006429992381171,0.14025369125888107,0.2552325889693186,140
sub21MP,0.2538534338863585,0.2534114584634077,0.20258402850489868,0.30278851656297373,140
sub21MPV3,0.1898209976403775,0.19363957325707626,0.13351522084732614,0.24488497034280512,140
sub22MP,0.3249086277250038,0.32802538445388185,0.28907322228268795,0.37035661562808536,140
sub23MP,0.0919828030988219,0.14783688678746276,0.05962474020156049,0.21835272295128982,140
sub24MP,0.30895750318907167,0.3025488957047937,0.2462016601360343,0.3568943746748359,140
sub25MP,0.342601177168214,0.3194471881923613,0.21073708623443554,0.4068803721565455,140
sub26MP,0.2078925200566288,0.21429926631082702,0.14556568368689202,0.273412267263207,140
sub27MP,0.2908559869368426,0.2863963003364137,0.2191746038459266,0.34851439263674105,140
sub28MP,0.33891324566938497,0.32712890218249696,0.2634096311464643,0.39005398163893046,140
sub29MP,0.6094320057247471,0.4217944391908127,0.2557209246402365,0.5298198674190671,140
sub2MPV3,0.27452818409903207,0.27097702217769526,0.20625026178136116,0.3291646694537354,140
sub3MPV3,0.19550100009316015,0.20010843358840086,0.13828507659526848,0.25517824476476264,140
sub4MP,0.20674694178068992,0.2088458268994314,0.15522619935066523,0.25757177592420333,140
sub4MPV3,0.19235723744224711,0.19619686452721546,0.13426783886259017,0.24748506975828208,140
sub5MPV3,0.22411893010870365,0.2291647519592302,0.15951921580230638,0.29003734032973993,140
sub6MPV3,0.1988338836512191,0.20094857021226126,0.14347960098456097,0.250339237264143,140
sub7MPV3,0.21975980377584603,0.2213761971849209,0.15886661495810034,0.2765120049824425,140
sub8MP,0.2614615672899831,0.2597829387469559,0.20572892454224467,0.3126071369871144,145
sub8MPV3,0.22136778897879622,0.22219097047101305,0.17075460414768637,0.27095474402610004,140
sub9MPV3,0.19473856063215958,0.1990049338245355,0.13470956416727886,0.255136747701697,140
